-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     219.679ms       120.71%     219.679ms     109.840ms             2  
                                          ProfilerStep*         2.19%      37.708ms        99.82%        1.718s     859.138ms       0.000us         0.00%     181.993ms      90.996ms             2  
                                               aten::to         0.01%      97.480us        10.24%     176.206ms      44.052ms       0.000us         0.00%     175.343ms      43.836ms             4  
                                         aten::_to_copy         0.00%      69.326us        10.23%     176.109ms      88.054ms       0.000us         0.00%     175.343ms      87.672ms             2  
                                            aten::copy_         0.01%     101.716us        10.22%     175.977ms      87.989ms     175.343ms        96.35%     175.343ms      87.672ms             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     175.343ms        96.35%     175.343ms      87.672ms             2  
                                           aten::square         0.00%      25.063us         0.02%     322.791us     161.395us       0.000us         0.00%       6.649ms       3.325ms             2  
                                              aten::pow         0.01%     193.001us         0.02%     297.728us     148.864us       6.649ms         3.65%       6.649ms       3.325ms             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.649ms         3.65%       6.649ms       3.325ms             2  
                                            aten::randn         0.00%      61.797us        87.37%        1.504s     752.020ms       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::empty         0.00%      73.200us         0.00%      73.200us      36.600us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::normal_        87.37%        1.504s        87.37%        1.504s     751.953ms       0.000us         0.00%       0.000us       0.000us             2  
                                    aten::empty_strided         0.00%      62.279us         0.00%      62.279us      31.139us       0.000us         0.00%       0.000us       0.000us             2  
                                        cudaMemcpyAsync        10.21%     175.822ms        10.21%     175.822ms      87.911ms       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaStreamSynchronize         0.00%      53.894us         0.00%      53.894us      26.947us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::result_type         0.00%       6.462us         0.00%       6.462us       3.231us       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel         0.01%      95.730us         0.01%      95.730us      47.865us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaDeviceSynchronize         0.18%       3.092ms         0.18%       3.092ms       3.092ms       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.721s
Self CUDA time total: 181.993ms
